Protein,Localization
A1BG,Cytosol
A2ML1,Secretory
AAAS,Secretory
AACS,Cytosol
AADAT,Mitochondria
AAED1,Secretory
AAGAB,Cytosol
AAK1,Cytosol
AAMDC,Cytosol
AAMP,Cytosol
AAR2,Cytosol
AARS,Cytosol
AARS2,Mitochondria
AASDHPPT,Cytosol
AASS,Mitochondria
AATF,Nuclear
ABAT,Mitochondria
ABCA1,Secretory
ABCA2,Secretory
ABCA3,Secretory
ABCA7,Cytosol
ABCB10,Mitochondria
ABCB6,Secretory
ABCB7,Mitochondria
ABCB8,Mitochondria
ABCB9,Secretory
ABCC1,Secretory
ABCC10,Secretory
ABCC3,Secretory
ABCC4,Secretory
ABCC5,Secretory
ABCD1,Secretory
ABCD3,Secretory
ABCD4,Secretory
ABCE1,Cytosol
ABCF1,Cytosol
ABCF2,Cytosol
ABCF3,Cytosol
ABCG2,Secretory
ABHD10,Mitochondria
ABHD11,Mitochondria
ABHD12,Secretory
ABHD14B,Cytosol
ABHD15,Secretory
ABHD16A,Secretory
ABHD17A,Secretory
ABHD17B,Secretory
ABHD17C,Secretory
ABHD2,Secretory
ABHD3,Mitochondria
ABHD4,Cytosol
ABHD5,Secretory
ABHD6,Secretory
ABI1,Cytosol
ABI2,Cytosol
ABL1,Cytosol
ABL2,Cytosol
ABLIM2,Cytosol
ABR,Cytosol
ABRACL,Cytosol
ABT1,Nuclear
ABTB1,Cytosol
ABTB2,Cytosol
ACAA1,Secretory
ACAA2,Mitochondria
ACACA,Cytosol
ACACB,Nuclear
ACAD10,Mitochondria
ACAD8,Mitochondria
ACAD9,Mitochondria
ACADL,Mitochondria
ACADM,Mitochondria
ACADS,Mitochondria
ACADSB,Mitochondria
ACADVL,Mitochondria
ACAP2,Cytosol
ACAP3,Cytosol
ACAT1,Mitochondria
ACAT2,Cytosol
ACBD3,Cytosol
ACBD4,Secretory
ACBD5,Secretory
ACBD6,Cytosol
ACBD7,Cytosol
ACCS,Cytosol
ACD,Cytosol
ACIN1,Nuclear
ACLY,Cytosol
ACO1,Cytosol
ACO2,Mitochondria
ACOT1,Nuclear
ACOT11,Cytosol
ACOT4,Cytosol
ACOT7,Cytosol
ACOT8,Secretory
ACOT9,Mitochondria
ACOX1,Secretory
ACOX3,Secretory
ACP1,Cytosol
ACP2,Secretory
ACPP,Secretory
ACSF2,Mitochondria
ACSF3,Mitochondria
ACSL1,Secretory
ACSL3,Secretory
ACSL4,Secretory
ACSS1,Mitochondria
ACSS2,Cytosol
ACSS3,Mitochondria
ACTA1,Cytosol
ACTB,Cytosol
ACTBL2,Cytosol
ACTG1,Cytosol
ACTL6A,Cytosol
ACTN4,Nuclear
ACTR10,Cytosol
ACTR1A,Cytosol
ACTR1B,Cytosol
ACTR2,Cytosol
ACTR3,Cytosol
ACTR3B,Cytosol
ACTR5,Nuclear
ACTR6,Nuclear
ACTR8,Nuclear
ACVR1,Secretory
ACVR1B,Secretory
ACY1,Cytosol
ACYP1,Cytosol
ACYP2,Cytosol
ADA,Cytosol
ADAL,Cytosol
ADAM10,Secretory
ADAM15,Secretory
ADAM17,Secretory
ADAM22,Secretory
ADAM9,Secretory
ADAP1,Cytosol
ADAR,Nuclear
ADARB1,Nuclear
ADAT1,Nuclear
ADAT3,Cytosol
ADCK1,Mitochondria
ADCK3,Mitochondria
ADCK4,Mitochondria
ADCK5,Mitochondria
ADCY3,Secretory
ADCY6,Secretory
ADCY9,Secretory
ADD1,Cytosol
ADD3,Cytosol
ADH5,Cytosol
ADI1,Cytosol
ADIPOR2,Secretory
ADIRF,Cytosol
ADK,Cytosol
ADNP,Nuclear
ADNP2,Nuclear
ADO,Cytosol
ADPGK,Secretory
ADPRHL2,Cytosol
ADRBK1,Cytosol
ADRM1,Cytosol
ADSL,Cytosol
ADSS,Cytosol
ADSSL1,Cytosol
AFAP1,Nuclear
AFAP1L2,Cytosol
AFF1,Nuclear
AFF3,Cytosol
AFF4,Nuclear
AFG3L2,Mitochondria
AFM,Cytosol
AFTPH,Cytosol
AGA,Secretory
AGAP1,Cytosol
AGAP2,Cytosol
AGAP3,Cytosol
AGFG1,Cytosol
AGFG2,Cytosol
AGGF1,Nuclear
AGK,Mitochondria
AGL,Cytosol
AGMAT,Mitochondria
AGO1,Nuclear
AGO2,Nuclear
AGO3,Nuclear
AGO4,Nuclear
AGPAT1,Secretory
AGPAT2,Secretory
AGPAT3,Secretory
AGPAT5,Mitochondria
AGPAT6,Secretory
AGPAT9,Secretory
AGR2,Secretory
AGR3,Secretory
AGRN,Secretory
AGT,Cytosol
AGTPBP1,Cytosol
AGTRAP,Secretory
AHCTF1,Nuclear
AHCY,Cytosol
AHCYL1,Cytosol
AHCYL2,Cytosol
AHDC1,Nuclear
AHNAK,Nuclear
AHNAK2,Nuclear
AHR,Cytosol
AHSA1,Cytosol
AHSG,Cytosol
AIDA,Cytosol
AIF1L,Cytosol
AIFM1,Mitochondria
AIFM2,Secretory
AIMP1,Cytosol
AIMP2,Cytosol
AIP,Cytosol
AJUBA,Cytosol
AK1,Cytosol
AK2,Nuclear
AK3,Mitochondria
AK4,Mitochondria
AKAP1,Mitochondria
AKAP10,Cytosol
