Protein,Localization
A1BG,Cytosol
AAAS,Secretory
AACS,Cytosol
AAGAB,Cytosol
AAK1,Cytosol
AAMP,Cytosol
AARS2,Mitochondria
AARSD1,Cytosol
AASDHPPT,Cytosol
AASS,Mitochondria
AATF,Nuclear
ABAT,Mitochondria
ABCB10,Mitochondria
ABCB7,Mitochondria
ABCB8,Mitochondria
ABCC1,Secretory
ABCD1,Secretory
ABCD3,Secretory
ABCE1,Cytosol
ABCF1,Cytosol
ABCF3,Cytosol
ABHD10,Mitochondria
ABHD11,Mitochondria
ABHD12,Secretory
ABHD14B,Cytosol
ABHD5,Secretory
ABI1,Cytosol
ABI2,Cytosol
ABL1,Cytosol
ABR,Cytosol
ABT1,Nuclear
ACAA1,Secretory
ACAA2,Mitochondria
ACACA,Cytosol
ACACB,Nuclear
ACAD10,Mitochondria
ACAD8,Mitochondria
ACAD9,Mitochondria
ACADM,Mitochondria
ACADS,Mitochondria
ACADSB,Mitochondria
ACADVL,Mitochondria
ACAP2,Cytosol
ACAT1,Mitochondria
ACAT2,Cytosol
ACBD3,Cytosol
ACBD5,Secretory
ACBD6,Cytosol
ACIN1,Nuclear
ACLY,Cytosol
ACO1,Cytosol
ACO2,Mitochondria
ACOT1,Nuclear
ACOT11,Cytosol
ACOT4,Cytosol
ACOT7,Cytosol
ACOT8,Secretory
ACOT9,Mitochondria
ACOX1,Secretory
ACOX3,Secretory
ACP1,Cytosol
ACP2,Secretory
ACSF2,Mitochondria
ACSF3,Mitochondria
ACSL1,Secretory
ACSL3,Secretory
ACSL4,Secretory
ACSS1,Mitochondria
ACSS2,Cytosol
ACSS3,Mitochondria
ACTB,Cytosol
ACTG1,Cytosol
ACTL6A,Cytosol
ACTN4,Nuclear
ACTR10,Cytosol
ACTR1A,Cytosol
ACTR1B,Cytosol
ACTR2,Cytosol
ACTR3,Cytosol
ACTR3B,Cytosol
ACTR5,Nuclear
ACTR6,Nuclear
ACTR8,Nuclear
ACY1,Cytosol
ACYP1,Cytosol
ACYP2,Cytosol
ADA,Cytosol
ADAM10,Secretory
ADAM17,Secretory
ADAP1,Cytosol
ADAR,Nuclear
ADARB1,Nuclear
ADD1,Cytosol
ADD3,Cytosol
ADH5,Cytosol
ADI1,Cytosol
ADK,Cytosol
ADNP,Nuclear
ADO,Cytosol
ADPGK,Secretory
ADRM1,Cytosol
ADSL,Cytosol
AFAP1,Nuclear
AFAP1L2,Cytosol
AFF4,Nuclear
AFG3L2,Mitochondria
AFTPH,Cytosol
AGA,Secretory
AGAP1,Cytosol
AGAP3,Cytosol
AGFG1,Cytosol
AGFG2,Cytosol
AGK,Mitochondria
AGL,Cytosol
AGPAT3,Secretory
AGPAT5,Mitochondria
AGR2,Secretory
AGRN,Secretory
AGT,Cytosol
AGTRAP,Secretory
AHCTF1,Nuclear
AHCY,Cytosol
AHCYL1,Cytosol
AHCYL2,Cytosol
AHDC1,Nuclear
