Protein	Neighborhood.Class	Compartment.Class
ABR	Cytosol	C1
ABTB1	Cytosol	C1
ACTR1A	Cytosol	C1
ACTR2	Cytosol	C1
ACTR3	Cytosol	C1
AGT	Cytosol	C1
AGTPBP1	Cytosol	C1
ALDH9A1	Cytosol	C1
ALOX15	Cytosol	C1
ALS2	Cytosol	C1
AMN1	Cytosol	C1
ANAPC13	Cytosol	C1
ANKMY2	Cytosol	C1
ANKRD28	Cytosol	C1
ANKRD44	Cytosol	C1
ANXA7	Cytosol	C1
AP1G1	Cytosol	C1
AP1G2	Cytosol	C1
AP1M1	Cytosol	C1
AP1M2	Cytosol	C1
AP1S1	Cytosol	C1
AP3B1	Cytosol	C1
AP3D1	Cytosol	C1
AP3M1	Cytosol	C1
AP3S1	Cytosol	C1
AP4E1	Cytosol	C1
APOA1BP	Cytosol	C1
APPL1	Cytosol	C1
ARAP3	Cytosol	C1
ARHGEF37	Cytosol	C1
ARHGEF5	Cytosol	C1
ARL6	Cytosol	C1
ARPC1B	Cytosol	C1
ARPC2	Cytosol	C1
ARPC5L	Cytosol	C1
ASAP1	Cytosol	C1
ASAP2	Cytosol	C1
ASAP3	Cytosol	C1
ATP6V1A	Cytosol	C1
ATP6V1C1	Cytosol	C1
ATP6V1E1	Cytosol	C1
AVEN	Cytosol	C1
AVL9	Cytosol	C1
BAX	Cytosol	C1
BCAR3	Cytosol	C1
BCR	Cytosol	C1
BIN3	Cytosol	C1
BIRC6	Cytosol	C1
BTBD10	Cytosol	C1
BTBD11	Cytosol	C1
C3orf14	Cytosol	C1
CAMK1	Cytosol	C1
CAMK2D	Cytosol	C1
CAMKMT	Cytosol	C1
CASKIN2	Cytosol	C1
CCT2	Cytosol	C1
CCT3	Cytosol	C1
CCT4	Cytosol	C1
CCT5	Cytosol	C1
CCT6A	Cytosol	C1
CCT8	Cytosol	C1
CDC42EP5	Cytosol	C1
CEP44	Cytosol	C1
CLASP2	Cytosol	C1
CNKSR1	Cytosol	C1
COL1A1	Cytosol	C1
CTIF	Cytosol	C1
CUL7	Cytosol	C1
CUL9	Cytosol	C1
DDHD1	Cytosol	C1
DDHD2	Cytosol	C1
DERA	Cytosol	C1
DGKZ	Cytosol	C1
DLGAP4	Cytosol	C1
DMXL1	Cytosol	C1
DMXL2	Cytosol	C1
DNAJC21	Cytosol	C1
DNMBP	Cytosol	C1
