Protein	Localization
SEPT2	Cytosol
SEPT3	Cytosol
SEPT5	Cytosol
SEPT6	Cytosol
SEPT7	Cytosol
SEPT8	Cytosol
SEPT9	Cytosol
SEPT11	Cytosol
A1BG	Cytosol
AAGAB	Cytosol
AAK1	Cytosol
AAMP	Cytosol
AAR2	Cytosol
AARSD1	Cytosol
AASDHPPT	Cytosol
ABCA7	Cytosol
ABCB4	Cytosol
ABCE1	Cytosol
ABCF2	Cytosol
ABCF3	Cytosol
ABHD14B	Cytosol
ABHD4	Cytosol
ABI1	Cytosol
ABI2	Cytosol
ABL2	Cytosol
ABLIM2	Cytosol
ABTB2	Cytosol
ACACA	Cytosol
ACAP3	Cytosol
ACBD3	Cytosol
ACBD6	Cytosol
ACCS	Cytosol
ACD	Cytosol
ACLY	Cytosol
ACO1	Cytosol
ACOT4	Cytosol
ACOT7	Cytosol
ACP1	Cytosol
ACTA1	Cytosol
ACTB	Cytosol
ACTBL2	Cytosol
ACTG1	Cytosol
ACTL6A	Cytosol
ACTN2	Cytosol
ACTN3	Cytosol
ACTR10	Cytosol
ACTR1B	Cytosol
ACTR3B	Cytosol
ACY1	Cytosol
ACYP1	Cytosol
ACYP2	Cytosol
ADA	Cytosol
ADAL	Cytosol
ADAT3	Cytosol
ADCY10	Cytosol
ADD1	Cytosol
ADD3	Cytosol
ADH5	Cytosol
ADI1	Cytosol
ADIRF	Cytosol
ADK	Cytosol
ADO	Cytosol
ADPRHL2	Cytosol
ADRBK1	Cytosol
ADRM1	Cytosol
ADSL	Cytosol
ADSS	Cytosol
AFAP1L2	Cytosol
AFF3	Cytosol
AFM	Cytosol
AFTPH	Cytosol
AGAP1	Cytosol
AGAP2	Cytosol
AGAP3	Cytosol
AGFG1	Cytosol
AGFG2	Cytosol
AGL	Cytosol
AHCY	Cytosol
AHCYL1	Cytosol
AHCYL2	Cytosol
AHI1	Cytosol
AHSG	Cytosol
AIDA	Cytosol
AIF1L	Cytosol
AIMP1	Cytosol
AIMP2	Cytosol
AIP	Cytosol
AJUBA	Cytosol
AK1	Cytosol
AKAP10	Cytosol
AKAP12	Cytosol
AKR1A1	Cytosol
AKR1B10	Cytosol
AKR1C3	Cytosol
AKR7A2	Cytosol
AKT1	Cytosol
AKT1S1	Cytosol
AKT2	Cytosol
AKTIP	Cytosol
ALAD	Cytosol
ALB	Cytosol
ALDH16A1	Cytosol
ALDH3A1	Cytosol
ALDH7A1	Cytosol
ALDOA	Cytosol
ALG13	Cytosol
ALKBH3	Cytosol
ALKBH4	Cytosol
ALKBH6	Cytosol
ALKBH8	Cytosol
ALMS1	Cytosol
ALOXE3	Cytosol
ALS2CL	Cytosol
AMD1	Cytosol
AMDHD2	Cytosol
AMMECR1	Cytosol
AMOTL2	Cytosol
AMPD2	Cytosol
AMPD3	Cytosol
AMZ1	Cytosol
AMZ2	Cytosol
ANAPC1	Cytosol
ANAPC11	Cytosol
ANAPC15	Cytosol
ANAPC16	Cytosol
ANAPC2	Cytosol
ANAPC4	Cytosol
ANAPC5	Cytosol
ANK1	Cytosol
ANK2	Cytosol
ANK3	Cytosol
ANKFY1	Cytosol
ANKRA2	Cytosol
ANKRD13A	Cytosol
ANKRD13B	Cytosol
ANKRD13D	Cytosol
ANKRD16	Cytosol
ANKRD17	Cytosol
ANKRD26	Cytosol
ANKRD36C	Cytosol
ANKRD39	Cytosol
ANKRD40	Cytosol
ANKRD49	Cytosol
ANKRD52	Cytosol
ANKRD54	Cytosol
ANKRD9	Cytosol
ANKS1A	Cytosol
ANKS6	Cytosol
ANKZF1	Cytosol
ANXA11	Cytosol
ANXA2	Cytosol
ANXA3	Cytosol
ANXA4	Cytosol
AP1B1	Cytosol
AP1S2	Cytosol
AP1S3	Cytosol
AP3B2	Cytosol
AP3M2	Cytosol
AP3S2	Cytosol
AP4B1	Cytosol
AP4M1	Cytosol
AP4S1	Cytosol
AP5B1	Cytosol
AP5M1	Cytosol
AP5S1	Cytosol
AP5Z1	Cytosol
APAF1	Cytosol
APBA1	Cytosol
APBA2	Cytosol
APBB2	Cytosol
APC	Cytosol
APCS	Cytosol
APEH	Cytosol
APEX2	Cytosol
APIP	Cytosol
APOA1	Cytosol
APOA2	Cytosol
APOA4	Cytosol
APOB	Cytosol
APOH	Cytosol
APPBP2	Cytosol
APPL2	Cytosol
APRT	Cytosol
AR	Cytosol
ARAF	Cytosol
ARAP1	Cytosol
ARAP2	Cytosol
ARF4	Cytosol
ARF5	Cytosol
ARFGAP1	Cytosol
ARFGEF2	Cytosol
ARFIP1	Cytosol
ARFIP2	Cytosol
ARHGAP1	Cytosol
ARHGAP10	Cytosol
ARHGAP12	Cytosol
ARHGAP17	Cytosol
ARHGAP18	Cytosol
ARHGAP24	Cytosol
ARHGAP26	Cytosol
ARHGAP29	Cytosol
ARHGAP44	Cytosol
