Protein	Localization
ABR	C1
ABTB1	C1
ACTR1A	C1
ACTR2	C1
ACTR3	C1
AGT	C1
AGTPBP1	C1
ALDH9A1	C1
ALOX15	C1
ALS2	C1
AMN1	C1
ANAPC13	C1
ANKMY2	C1
ANKRD28	C1
ANKRD44	C1
ANXA7	C1
AP1G1	C1
AP1G2	C1
AP1M1	C1
AP1M2	C1
AP1S1	C1
AP3B1	C1
AP3D1	C1
AP3M1	C1
AP3S1	C1
AP4E1	C1
APOA1BP	C1
APPL1	C1
ARAP3	C1
ARHGEF37	C1
ARHGEF5	C1
ARL6	C1
ARPC1B	C1
ARPC2	C1
ARPC5L	C1
ASAP1	C1
ASAP2	C1
ASAP3	C1
ATP6V1A	C1
ATP6V1C1	C1
ATP6V1E1	C1
AVEN	C1
AVL9	C1
BAX	C1
BCAR3	C1
BCR	C1
BIN3	C1
BIRC6	C1
BTBD10	C1
BTBD11	C1
C3orf14	C1
CAMK1	C1
CAMK2D	C1
CAMKMT	C1
CASKIN2	C1
CCT2	C1
CCT3	C1
CCT4	C1
CCT5	C1
CCT6A	C1
CCT8	C1
CDC42EP5	C1
CEP44	C1
CLASP2	C1
CNKSR1	C1
COL1A1	C1
CTIF	C1
CUL7	C1
CUL9	C1
DDHD1	C1
DDHD2	C1
DERA	C1
DGKZ	C1
DLGAP4	C1
DMXL1	C1
DMXL2	C1
DNAJC21	C1
DNMBP	C1
DOCK1	C1
DOPEY1	C1
DOPEY2	C1
DSTYK	C1
DTYMK	C1
DYNC1H1	C1
DYNC1LI1	C1
DYNLT1	C1
DYNLT3	C1
EFHD2	C1
EID2	C1
EIF2B1	C1
EIF2B2	C1
ELAC1	C1
ELMO2	C1
ELMO3	C1
ENDOV	C1
ENTHD2	C1
EPG5	C1
FAM129A	C1
FAM214A	C1
FAM65A	C1
FAM86A	C1
FAM89B	C1
FBXL15	C1
FBXO42	C1
FBXW8	C1
FERMT1	C1
FOCAD	C1
FRYL	C1
FTSJ1	C1
GPATCH2	C1
GPRASP2	C1
GRB14	C1
GSTZ1	C1
GYG2	C1
HAUS3	C1
HAUS4	C1
HAUS6	C1
HEATR5A	C1
HECTD3	C1
HERC1	C1
HERC4	C1
HMGCLL1	C1
HPS3	C1
HPS5	C1
HPS6	C1
ICA1	C1
IDNK	C1
IFT80	C1
IFT81	C1
IFT88	C1
IKBKE	C1
INPP5F	C1
IPO9	C1
KATNA1	C1
KATNB1	C1
KCMF1	C1
KHNYN	C1
KIAA0930	C1
KIAA1244	C1
KIF13A	C1
KIF13B	C1
KIF1B	C1
KLHL26	C1
KLHL9	C1
KSR1	C1
LAP3	C1
LINGO1	C1
LPIN1	C1
LPIN2	C1
LRRC40	C1
LSM1	C1
LTF	C1
LYPLA1	C1
LYPLAL1	C1
MADD	C1
MAGED2	C1
MAP2K4	C1
MAP2K5	C1
MAP2K6	C1
MAP3K5	C1
MAP4K2	C1
MAST2	C1
MCC	C1
METTL21A	C1
MEX3D	C1
MTM1	C1
MTMR14	C1
MTMR3	C1
MTMR6	C1
MTMR7	C1
MTMR9	C1
MTSS1L	C1
MYCN	C1
MYD88	C1
MZT2B	C1
NAPB	C1
NBEA	C1
NCKIPSD	C1
NEDD9	C1
NEK1	C1
NEK3	C1
NEK4	C1
NKIRAS1	C1
NRBP2	C1
NSUN6	C1
OSBP	C1
PACS2	C1
PAIP2	C1
PAIP2B	C1
PARVB	C1
PDCD10	C1
PDE7A	C1
PHKA2	C1
PHKB	C1
PHKG2	C1
PICK1	C1
PKN2	C1
PLEKHG2	C1
PLIN3	C1
POLR2M	C1
PPM1H	C1
PPP2R2D	C1
PPP2R5A	C1
PPP2R5E	C1
PRKAA1	C1
PRKAG1	C1
PRKCI	C1
PRKD1	C1
PRKD2	C1
PRKX	C1
PSMA3	C1
PSMA4	C1
PSMA6	C1
PSMB2	C1
PSMB3	C1
PSMB4	C1
PSMB5	C1
PSMB7	C1
PSMC2	C1
PSMC3	C1
PSMC4	C1
PSMC5	C1
PSMD1	C1
PSMD11	C1
PSMD12	C1
PSMD13	C1
PSMD14	C1
PSMD2	C1
PSMD3	C1
PSMD7	C1
PSMD8	C1
PSME4	C1
PTGR2	C1
PTK2	C1
PTK2B	C1
PTPN23	C1
R3HCC1	C1
RAB28	C1
RAB3IL1	C1
RABGAP1	C1
RAF1	C1
RALGPS2	C1
RFESD	C1
RICTOR	C1
RIOK2	C1
RNF141	C1
RNF214	C1
ROGDI	C1
RTKN	C1
RWDD2A	C1
SASS6	C1
SCYL1	C1
SEC23IP	C1
SESN1	C1
SHQ1	C1
SKIV2L	C1
SNAP29	C1
SNF8	C1
SNUPN	C1
SNX1	C1
SNX2	C1
SNX5	C1
SNX6	C1
SOX3	C1
SPATA5	C1
SPATA5L1	C1
SPC25	C1
SPG20	C1
STARD13	C1
STAT3	C1
STK3	C1
SYAP1	C1
SYK	C1
TANGO6	C1
TARBP1	C1
TBC1D17	C1
TBC1D7	C1
TBC1D9B	C1
TCP1	C1
TELO2	C1
TF	C1
TICAM1	C1
TOLLIP	C1
TPD52	C1
TRAPPC2L	C1
TRAPPC3	C1
TRAPPC4	C1
TRIM26	C1
TRIO	C1
TRMT12	C1
TRPC4AP	C1
TSC2	C1
TSG101	C1
TTC12	C1
TTC26	C1
TTC37	C1
TTF2	C1
TTI1	C1
TTI2	C1
TUBG1	C1
TUBGCP2	C1
TUBGCP4	C1
TUBGCP5	C1
TUBGCP6	C1
TXNL4B	C1
TYMP	C1
UBE2D2	C1
UBE2Q1	C1
UBE2W	C1
UBR4	C1
UHRF1BP1	C1
ULK3	C1
URGCP	C1
USP21	C1
USP32	C1
USP40	C1
USP45	C1
WDFY3	C1
WDR34	C1
WDR37	C1
WDR41	C1
WDR6	C1
WDR62	C1
WIPI2	C1
VPS33A	C1
WWC2	C1
ZFYVE1	C1
ZNF395	C1
ZNHIT2	C1
ZSWIM8	C1
ZYG11B	C1
ZZEF1	C1
SEPT10	C2
ABCF1	C2
ABL1	C2
AHR	C2
AKAP13	C2
AKAP9	C2
ANKHD1	C2
ANKRD50	C2
ARCN1	C2
ASB8	C2
ATXN2	C2
BAG1	C2
BICD1	C2
CCNB1	C2
CCNJ	C2
CDC20	C2
CEP170B	C2
CLTA	C2
CLTB	C2
CLTC	C2
COPG1	C2
DEF8	C2
DNA2	C2
EDRF1	C2
EIF2A	C2
EIF3I	C2
EIF4A2	C2
FAM102A	C2
FCHSD2	C2
FGFR1OP	C2
FHIT	C2
GGA1	C2
GGA2	C2
GGA3	C2
GIGYF1	C2
GIT2	C2
GREB1	C2
HMMR	C2
IFT140	C2
IPPK	C2
ITPKB	C2
JMY	C2
KBTBD8	C2
KCTD3	C2
KPNA3	C2
LNX2	C2
MIB2	C2
MYH10	C2
MYL6	C2
OBFC1	C2
PARD6B	C2
PDE4DIP	C2
PLEKHG4	C2
POTEF	C2
PSMB6	C2
RSPH1	C2
SAMD15	C2
SDCCAG8	C2
SEC16A	C2
SEC24D	C2
SNX27	C2
SNX3	C2
SRP68	C2
SRP72	C2
STRN	C2
STRN4	C2
TAX1BP1	C2
TBC1D5	C2
TEC	C2
TRIM2	C2
URI1	C2
VPS11	C2
VPS16	C2
VPS18	C2
YTHDF3	C2
ZRANB1	C2
ACAP2	C3
AHSA1	C3
ARFGAP2	C3
ARFGAP3	C3
ARFGEF1	C3
ARHGAP35	C3
ARHGEF10L	C3
ARMC6	C3
ARMC9	C3
ATG2B	C3
ATG5	C3
BCAS3	C3
BZW2	C3
C7orf25	C3
CARD14	C3
CDAN1	C3
CDC123	C3
CEP41	C3
CHKA	C3
CHM	C3
CHUK	C3
CTU2	C3
DCLK1	C3
DDX58	C3
DIAPH1	C3
DIAPH2	C3
DNM1	C3
DNM2	C3
DPH6	C3
ELP4	C3
ETF1	C3
FAM105B	C3
FAM129B	C3
FBXL16	C3
FBXO9	C3
FUK	C3
GAPVD1	C3
GAREM	C3
GCN1L1	C3
GLMN	C3
GPN1	C3
HEATR6	C3
IKBKAP	C3
INPPL1	C3
IPO4	C3
IRAK1	C3
IRAK4	C3
KIAA1279	C3
KIF11	C3
KIF5C	C3
KIFAP3	C3
KLC2	C3
LPIN3	C3
LRRC58	C3
LRSAM1	C3
LYPLA2	C3
MALT1	C3
MAP3K4	C3
MAP3K7	C3
MICAL1	C3
MSTO1	C3
N6AMT2	C3
NFATC2	C3
NFKB1	C3
NFKB2	C3
OSBPL2	C3
OXR1	C3
OXSR1	C3
PCTP	C3
PDPK1	C3
PHGDH	C3
PI4KB	C3
PIK3R1	C3
PITPNB	C3
PMVK	C3
PPP2R5D	C3
PPP3CB	C3
PPP4R1	C3
PREX1	C3
PRUNE	C3
RABGAP1L	C3
RAP1GAP	C3
RAPH1	C3
RASA1	C3
RBCK1	C3
REL	C3
RELB	C3
RHEB	C3
RIPK2	C3
RNASEL	C3
RPS6KA1	C3
RWDD2B	C3
SASH1	C3
SH3BP1	C3
SH3GLB2	C3
SKA1	C3
SKA2	C3
SOS1	C3
SRR	C3
STAT1	C3
STK39	C3
SULT2B1	C3
TBC1D16	C3
TBC1D2	C3
TBC1D2B	C3
TLN1	C3
TMEM102	C3
TNIP1	C3
TRIM47	C3
TRIP6	C3
TTC27	C3
TUBA1C	C3
UBE3B	C3
USP24	C3
VIPAS39	C3
VTA1	C3
ZC3H12A	C3
AACS	C4
AAMDC	C4
AARS	C4
ABRACL	C4
ACBD7	C4
ACOT11	C4
AFP	C4
ALDH1A3	C4
ALDOC	C4
ANXA5	C4
ANXA6	C4
ARHGDIA	C4
ATG4A	C4
ATG7	C4
ATIC	C4
C14orf119	C4
C16orf70	C4
C1orf123	C4
